Unique-Menu,Unique-Menu-Translation,Match
Pizza,pizza,100
Special Palta,special avocado,46
Sándwich o ensalada,sandwich or salad,100
Especialidades Pizzas,Specialities Pizzas,100
Rolls Frios,cold rolls,90
Pastas y verduras,pastas and vegetables,100
Milanesas al plato,milanesas pigeon,76
Salads & Soups,salads & soups,77
Postre,dessert,100
Pizzas promoción,pizzas promotion,58
Hamburguesas caseras de 200 gr.,200 gr homemade burgers.,81
Makimono rolls,makimono rolls,55
Barra Tradicional,Traditional bar,87
Pescados / Mariscos,Fish / Seafood,100
Appetizer Calientes,hot appetizer,75
Zona Ligth,Ligth Zone,100
Arroz y Pastas,rice and pasta,96
"Tablas para ""El Malón""","Tables for ""Malon""",85
Razz wraps,razz wraps,32
Arma tu sándwich,Build your sandwich,71
Cervezas y Bebidas,beers and drinks,100
Sashimi y Ceviche,sashimi and ceviche,100
Tablas para Compartir,Tables Share,86
Especiales,Specials,100
Ensaladas & Verduras,Salads & Vegetables,87
Picadas,Stings,100
Rolls 15% OFF,Rolls 15% OFF,86
Rolls Especiales Banzai,Special Rolls Banzai,93
Almuerzos,lunches,100
Otras carnes,other meats,100
Opciones Big Sandwiches,Big Sandwiches Options,56
Ciboulette,ciboulette,100
Sashimi y Nigiris,Sashimi and Nigiris,100
Bebidas Individuales 500cc,individual drinks 500cc,100
Festival de gyosas,Festival gyosas,48
Rolls Creaciones Urbanas,rolls urban creations,97
Para tomar,to make,70
Comida Caliente,hot meal,100
Arrebatos compartidos,shared outbursts,100
Ensaladas de la casa,house salads,100
Sándwiches de milanesa,sandwiches Milanese,83
Ensalada de la casa,house salad,100
Dim Sum,Dim Sum,100
Sofisticados Rolls,sophisticated rolls,66
25 % off Platillos,25% off Cymbals,68
Sanguches de filete de pollo,Chicken fillet sandwiches,86
Bronto Picoteo,bronto pecking,100
Platos Nikkei,Dishes Nikkei,100
Tortas y dulces,cakes and sweets,68
Temaki - 20% off,temaki - 20% off,70
Salsas especiales,special sauces,100
Choices,choices,53
Aderezo para la ensalada,salad dressing,91
Hamburguesas caseras,homemade burgers,100
Energéticas,energy,70
Piscos,piscos,100
Los Frescos Cebiches y Tiraditos,The Fresh Cebiches and Tiraditos,75
Zona Ligth Rolls,Area Ligth Rolls,76
Gohan Ok,gohan ok,100
Rolls Calientes (Panko o Tempura),Rolls Calientes (Panko or Tempura),98
opciones de envueltos California Rolls,Rolls wrapped options California,79
Maguro Atún,maguro tuna,50
Menú 10 rollos,Menu 10 rolls,100
Promociones Kanpeki,Promotions Kanpeki,100
Nikkei Roll,Nikkei Roll,95
Bronto Ensaladas Tradicionales,bronto traditional salads,100
"Bebidas, Té y Extras",Drink tea and extras,86
Pizzetas,pizzetas,100
Envuelto en Pescado,fish wrapped in,57
Envueltos en palta y salmón,wrapped in avocado and salmon,82
Tailandia,thailand,100
Sweet Rolls,sweet rolls,10
"Gukan, Gyosas y Nigiris",Gukan Gyosas and Nigiris,100
Sándwich Gourmet,gourmet sandwich,100
Jugo en leche,juice milk,86
Cafetería,coffee shop,100
Promociones Familiares,Family promotions,95
Cream Cheese Rolls,Cream Cheese Rolls,25
Gohan,gohan,100
CHOICE 3 ingredientes,3 ingredients choice,79
Lo Dulce,The Dulce,87
Rolls Especiales,Special Rolls,90
Califorma Rolls,Califorma Rolls,96
Diente de dragón,dragon tooth,100
Sándwiches de la casa,sandwiches house,84
Combinaciones Wasabi,combinations wasabi,100
Burrito,Burrito,100
Uramakis,uramakis,100
Creaciones Kyu,kyu creations,100
California Rolls Crema,California Rolls Cream,97
Bebidas 2 Lts.,Drinks 2 Lts.,100
Nuestras combinaciones,our combinations,100
Promo Viernes,Promo Friday,100
Snacks y Entradas,Snacks and Tickets,100
Salsa y Extras,sauce and extras,100
Sashimi - 20% off,sashimi - 20% off,69
Futomakis,futomakis,100
Menú del día,menu of the day,100
Menús para Compartir,menus to share,100
Platos Peruanos,Peruvian dishes,93
Pastelería y Bollería,Pastry and Bakery,80
Asia,Asia,100
Temaki,temaki,100
Combinaciones y Menú,combinations and menu,100
Sandwich de Salmón Ahumado,Smoked salmon sandwich,90
Combinaciones Florida Sushi,Combinations Florida Sushi,100
Ensaladnwich,ensaladnwich,100
Platos del chef,dishes from the chef,100
Appetizer,appetizer,55
Ofertas al paso,offers to step,75
Sandwichs,sandwichs,100
15 off en la carta,15 off on the chart,101
Razz tempura,razz tempura,58
Tablas Grandes,large tables,100
Sugerencias,suggestions,100
Hamburguesas,burgers,100
Rolls Calientes Panko,Hot Rolls Panko,92
Roll Especial,Special Roll,96
Especiales de fin de semana,Special weekend,89
Temaki (Hand-Roll),Temaki (Hand-Roll),100
Cortes,Cortes,100
Giga Promo,Giga Promo,100
Dulces,confectionery,23
Sándwiches vegetarianos,vegetarian sandwiches,100
Parrillada china,Chinese BBQ,40
Otras Promociones,Other Promotions,100
Carnes,meats,100
Bushido Hot Roll,Bushido Hot Roll,88
Sándwich Miga,Sandwich Miga,88
Menu Italiano,Italian menu,92
Hot Roll + Especiales,Hot Roll + Specials,84
Desayuno y Hora del Té,breakfast and teatime,88
Sashim,sashim,100
Ensalada César + Jugo,Caesar Salad + Juice,100
The sweets pasteleria,The sweets pastry,47
Special Rolls II,Special Rolls II,52
Viernes,Friday,100
Pizzas quijotescas,quixotic pizzas,94
Arroz salteado,fried rice,64
Promoción viernes 8 y sábado 9 de Marzo,promotion Friday 8th and Saturday March 9,95
Variedades de arroz,rice varieties,100
Rolls Salmón,salmon rolls,81
California rolls - 20% off,California rolls - 20% off,55
Pizzas Deluxe,Pizzas Deluxe,100
Entremeses Fríos,Cold Appetizers,52
Refrescos,refreshments,100
Futomaki - 30% off,futomaki - 30% off,71
Hamburguesas dobles,double burgers,100
Special rolls,special rolls,53
Del Chef,Chef,12
Empanadas al horno,baked pies,100
Shawarma,shawarma,100
Sánguches,sandwiches,76
Repostería Tulu´s,tulu's pastries,45
Vacuno,bovine,50
Special Salmón,special salmon,88
T-T-Tacos,t-t-taco,94
Carne,meat,100
Sándwich,Sandwich,100
Nigiri Especial,nigiri special,100
Toro Toro Sándwich Vegetarianos,toro toro vegetarian sandwich,92
House Rolls,House Rolls,63
Nuestros Paquetes,our packages,100
Pastas Artesanales,Artisan Pasta,56
Rolls y Platos Calientes,Rolls and Hot Dishes,89
Razz nigiri,razz nigiri,54
Appetizers Calientes,Hot appetizers,75
Especiales y tempura,Special and tempura,94
Especial en myrai sushi,Especially sushi myrai,91
Camarones,Shrimps,100
Roll,roll,88
Sugerencias Mix,Suggestions Mix,100
Cervezas,beers,100
Cortes sashimi,Cortes sashimi,100
Criollos,Criollos,100
Envueltos mixtos,wrapped mixed,86
Tori rolls,tori rolls,38
Sándwich Clásicos,classic sandwich,97
Uramaki avocado,uramaki avocado,70
Ensaladas y Sopas,salads and soups,100
Cafés,Cafes,100
Apanados en panko,breaded in panko,88
Empanadas de Horno,baked pies,88
Entradas Frías,Cold Starters,70
Rolls Apanados y Tempura,breaded and tempura rolls,88
Agregados para pizza,pizza aggregates,84
Comidas rápidas,fast food,93
Promociones Desayunos,Breakfast Promotions,92
Empanaditas,empanaditas,100
Rolls Especial Palta,Special Rolls Palta,97
Fajitas x4,Fajitas x4,100
Fajitas x2,Fajitas x2,100
Ensaladas Gourmet,gourmet salads,100
Chizu Rolls,Chizu Rolls,95
Rainbow roll,rainbow roll,91
Jugo,juice,100
Sopaipillas,Sopaipillas,100
Sándwich 2X1,sandwich 2x1,69
Uramaki rolls,rolls uramaki,51
Pizza al Taglio,pizza slices,100
Rollos Especiales,special rolls,100
Agregados La Rotonda,aggregates the roundabout,93
Kids Menu,Kids Menu,42
Picoteos Grupales,group pecking,80
25 % Off Platillos,25% Off Cymbals,97
Salsas del rincón,sauces corner,62
Chorrillanas para Compartir,chorrillanas to share,100
Empanadas de horno
Cenas Sólo para Dos,dinner just for two,97
Wraps/ Fajitas,wraps / fajitas,96
Especiales Fríos,Special cold,83
Especiales Fritos,Special Fried,51
I Dolci,sweets,83
Sushi Sashimi Moriawase,sushi sashimi moriawase,100
Dietetico,dietary,100
Pollo sándwich,chicken sandwich,54
Super Special Hot Rolls,super special hot rolls,45
Cabernet Sauvignon,cabernet sauvignon,100
Milk Shake,milk shake,12
Hot rolls  - 30% off,hot rolls - 30% off,44
Shirashi,Shirashi,100
Rolls en Masago,Rolls in Masago,100
Makimono,makimono,100
Ensaladas Thai,thai salad,96
Nikkei Rolls,Nikkei Rolls,96
Mega Sándwich Tradicional,Traditional mega sandwich,96
Camarón o Salmón furai,furai shrimp or salmon,65
Tacos,Tacos,100
Promos,promos,100
"Rolls Envueltos en Sésamo, Amapola, Cebollín o Merkén",Rolls Wrapped in Sesame or poppy Cebollín Merkén,89
Special Rolls Palta,Special Rolls Palta,60
Ensaladas especiales,special salads,100
Choriburger,choriburger,100
Jugo en agua,water juice,91
Sándwich Carne de Vacuno,Beef Sandwich,72
Ajíes y picantes,Peppers and spicy,66
Uramaki Rainbow,Uramaki Rainbow,100
Milanesas,milanesas,100
Rolls envueltos en salmón,wrapped in salmon rolls,69
Rolls envueltos en palta (8 piezas),rolls wrapped in avocado (8 pieces),86
Salsa adicionales,additional salsa,93
Hamburguesas Pieros,Burgers Pieros,100
"Té, café e infusiones",coffee tea and infusions,80
Rolls de Lujo,Luxury rolls,88
Bebidas 1.5 Lts.,Drink 1.5 liters.,75
Rolls Premium Nikkei,Rolls Premium Nikkei,92
Rolls tempurizados y calientes,Rolls tempurizados and hot,98
Slams,Slams,100
Promo Semana Santa,Easter Promo,53
Ebi tempura,Ebi tempura,100
Sake,sake,100
Extras Sushi Sky,Extras Sushi Sky,100
Menus,menus,72
Sanguchazos clásicos,Classic sanguchazos,87
Para compartir - 20% off,to share - 20% off,77
Empanadas y más,Empanadas and more,100
Sándwich de mechada,sandwich loaf,43
Makimono especial,Special Makimono,94
Minimarket,minimarket,57
Sushi fuzion,sushi fuzion,41
Completo,full,100
Makimonos,makimonos,100
Empanadas con queso,Empanadas with cheese,100
Whisky,whiskey,100
Sándwich Tradicionales,traditional sandwich,95
Special Rolls Salmón,special rolls salmon,69
Lasagna,Lasagna,100
Tempura Roll,Tempura Roll,91
Tempura y Apanados,tempura and breaded,91
Pollos a las brasas,grilled chicken,68
Almuerzos y Platos Extras,Lunch and Dishes Extras,97
Envueltos en masago,wrapped in masago,97
Rolls Fusión Púrpura,purple fusion rolls,91
Platos Fríos y Calientes,hot and cold dishes,100
Especialidad de parrilla,specialty grill,53
Korokees,korokees,100
Tataki,tataki,100
Menú para 2,menu for 2,100
Otros,others,100
Carta Menú,Carte Menu,100
Menú para 4,menu for 4,100
Ensaladas Toro Toro Gourmet,Toro Toro Gourmet Salads,66
Tradiciones Peruanas,Peruvian Traditions,100
Vegeta Rolls,vegeta rolls,48
Merlot,merlot,100
Niguiris y Sashimis,Niguiris and Sashimis,100
Pasta larga,long pasta,100
Empanaditas Fritas,fried dumplings,58
Sandwich,sandwich,100
Pizza Premium,Premium Pizza,41
Tablas Árabes,Arab Tables,92
Pizza a tu pinta,Pizza to your pint,100
Top Rolls,Top Rolls,94
Vegetal,vegetable,100
Crepes Salados,savory crepes,100
Tragos Largos,Long Shots,48
Calizzas,calizzas,100
Too much rolls,Too much rolls,48
Vodka,vodka,100
Adicionales,Additional,90
Otros Sándwiches,Other Sandwiches,87
Menu para Peques,Menu for Peques,90
Pizzas del mundo,Pizzas world,85
Pizzas Voraz,Pizzas Voraz,100
Vinos Copa,Wines Cup,100
Jugos y bebidas gaseosas,juices and soft drinks,58
Ebi,ebi,100
Caprichos Mediterráneos,Mediterranean whims,95
Raciones,rations,100
Bebidas – Extras,drinks - extras,88
Special Rolls Envueltos en Salmón,special rolls wrapped in salmon,80
Empanada Premium,Premium Pie,40
Empanada Especial,Special Pie,62
Para continuar,to continue,100
Vodkas,vodkas,100
Sanguchazos los nuestros,sanguchazos our,83
Promoción de Almuerzo,lunch promotion,97
Filete,steak,100
Bebidas en lata,canned drinks,87
Para disfrutar,to enjoy,100
Ensaladas Clásicas,classic salads,100
Californias envueltos en Masago,californias wrapped in masago,96
Barros luco en pan frica,Barros Luco bread Africa,85
Exquisitos Ostiones y Camarones,delicious oysters and shrimp,70
Tutto Especialidades,All Especialidades,95
Temaki (1 pieza),temaki (1 pieza),100
Rolls Nikkei,nikkei rolls,96
Ali Salsas,Ali Sauces,70
Tapas envasadas,tapas packed,73
Ensaladas a tu gusto,salads to taste,89
Fusion rolls,fusion rolls,34
Tapas,Tapas,100
Ceviche y ensaladas,ceviche and salads,100
Sandwiches Vegetariano,Sandwiches Vegetarian,95
Para acompañar - 30% off,to accompany - 30% off,77
Appetizer calientes,hot appetizer,75
Sushimi,sushimi,100
Pizza Speciale,Pizza Special,96
Brochetas Yakitoris,yakitoris skewers,72
Ensaladas Tulu´s,Salads Tulu's,82
Rolls exclusivos (8 piezas),Exclusive rolls (8 pieces),94
Rolls en Salmón,in salmon rolls,83
Crudos,raw,90
2x1,2x1,101
Cheese roll,cheese roll,32
Promociones Haruki,Haruki Promotions,100
Piegattio fuzion,piegattio fuzion,100
Chesse Roll's,Roll's Chesse,81
Rolls furay y queso crema,Furay rolls and cream cheese,90
Jugos en Leche,milk juices,92
Paquetes,Packages,100
Piqueos y ceviches,snacks and ceviches,76
Ceviches,ceviches,100
Hamburguesas Artesanales & Suprema de Pollo con Salsas,Artisan Burgers & Chicken Supreme with Sauces,57
Sugerencias del Rincón,suggestions corner,71
Rolls Especiales o de Fantasía,special rolls or fancy,98
Yakimeshi,yakimeshi,100
Papas Fritas,french fries,100
Special Cheese Rolls,special cheese rolls,52
*Envuelto,* Wrapped,94
Tiraditos,tiraditos,100
Sakana Tataki,Sakana Tataki,100
Fondos de pollo,chicken funds,100
Hand Rolls,hand rolls,41
Sashimi 8 Cortes,Sashimi 8 Cortes,100
Apetizzer y preparaciones calientes,apetizzer and hot preparations,100
Rolls vegel,rolls Vegel,86
Confitería,confectionery,100
Fusión & Gourmet,Fusion & Gourmet,90
Barra Fría de Café,Cold coffee bar,45
Salchichas,sausage,94
Hand Roll,hand roll,32
Para Beber,to drink,100
Sándwich preparados,prepared sandwich,97
Hosomaki Rolls,Hosomaki Rolls,96
Niguiris,niguiris,100
Atún,tuna,100
Ave,bird,20
Fideos de Arroz,rice noodles,100
Avocados Rolls,Avocados Rolls,58
Chancho,pig,33
Pizzas del Mundo,Pizzas World,73
Avocado Roll,Avocado Roll,56
Apetizzers,apetizzers,100
America Rolls,America Rolls,61
Productos Unitarios,unitary products,100
Panes Horneados,baked breads,100
Sushi para Niños,sushi for children,100
Carne Mechada,meatloaf,100
Hot Rolls,Hot Rolls,37
Carnes y Otros,meats and other,100
Avocado Rolls,avocado rolls,32
Churrascos y Lomitos,barbecues y lomitos,90
Combinaciones More,Combinations More,83
Cream rolls - 20% off,cream rolls - 20% off,40
Rolls para embarazadas,rolls for pregnant,97
Deli Rolls,Deli Rolls,95
Cocteles,cocktails,82
Capelleti Gratinado,Capelleti Gratin,91
Rolls Apanados,Rolls Breaded,86
New Rolls,new rolls,72
Fusiones,mergers,100
Platos Preparados,ready meals,68
Salsas y Otros,Sauces and Others,100
Rolls de la casa - 30% off,rolls of the house - 30% off,77
Sushimanía rolls,Sushimania rolls,52
Promo Martes,Promo Tuesday,100
Sándwich tradicionales,traditional sandwich,95
Salad & soup,Salad & soup,91
Cebiche Salmón,salmon ceviche,84
Acompañamientos y platos calientes,accompaniments and hot dishes,100
Rollos calientes,Hot rolls,100
Sandwich premium,premium sandwich,90
Gnocchi lasagna e risoti,gnocchi and lasagna risoti,91
Hielo,ice,100
Mariscos,seafood,100
Nuestras ensaladas,our salads,100
Bebidas y postres,drinks and desserts,100
Promociones Con Mucha Hambre,very hungry promotions,76
Rolls Palta,avocado rolls,55
Postres Artesanales,homemade desserts,64
Menú niños,Kids menu,88
Para acompañar,to accompany,100
Razz palta,Razz avocado,34
Shawarmas y Dönner,Shawarmas and Donner,91
Chirashi,chirashi,100
Sándwich Destacados,Featured sandwich,87
Entradas di Mare,entradas sea,82
Nigiri (2 unidades),nigiri (2 units),100
Nuevos rolls,new rolls,96
Furai,furai,100
Hay Quiches,There Quiches,100
Promociones Para Dos,promotions for two,100
Sugerencias del chef,Aways,100
Promoción -  74 Piezas x $18.000,"Promotion - 74 pieces x $ 18,000",95
Tiger Roll Especiales,Tiger Special Roll,92
Premium Nikkei Rolls,Premium Nikkei Rolls,82
Pescados y mariscos,Fish and seafood,100
"Envueltos en sésamo, ciboullete o maní",Wrapped in sesame or peanut ciboullete,74
Combinación Mixta,mixed combination,100
Roll en Queso,roll in cheese,88
Fondos de pescados y mariscos,funds seafood,76
Rolls Makimono Envuelto en Alga Nori,Makimono Rolls Wrapped in Nori Seaweed,98
Platos Pop,pop dishes,100
Bocatas,bocatas,100
Razz queso,razz cheese,50
Carta de Helados,Charter Cream,59
Arma tus Rolls,Plan your Rolls,64
Especias & Condimentos,spices & condiments,95
Nigiri Moriawase,nigiri moriawase,100
Colaciones del Día,collations of the day,100
Pescados,Fish,93
9 cortes (Envueltos en palta),9 cuts (Wrapped in avocado),94
Pro rolls,pro rolls,94
Las Fritas,chips,75
Deli Rolls (8 Trozos),Deli Rolls (8 Pieces),79
Round One,round one,44
25% off platillos,25% off dishes,101
Tablas Medieval del Rincón,Medieval Tables Corner,62
Planchaditos,planchaditos,100
Arcoíris,rainbow,77
Tablas de sushi,tables sushi,100
Arroces,rice,66
Primera Patita,First Duckling,85
Promos - Promociones,promos - promotions,100
Pizzas Familiares,family pizzas,100
Tallarines,noodles,37
Vienesas,Viennese,66
Para comenzar,to start,100
"Comida casera, rápida y sushi",quick homemade food and sushi,100
Roll de la casa,roll of the house,96
Hosotakis,hosotakis,100
Rolls envueltos en Queso Crema,Cream Cheese wrapped rolls,38
Futomaki y hosomaki,futomaki and hosomaki,100
Ensaladas y Agregados,salads and aggregates,100
Para Empezar,to begin with,100
Hosomaki - 20% off,hosomaki - 20% off,71
Dientes de Dragón,Dragon's Teeth,97
Tempura hot rolls,hot tempura rolls,45
Niguiri y Gukan,niguiri and gukan,100
Snack's,Snack's,83
Mitad Rolls,half rolls,38
Empanadas Fritas,fried pies,58
Uramaki Especial,Special Uramaki,100
Cebiches y Fríos,cebiches and cold,96
Nuestros Combos,our combos,100
Pollos Asados,roast chicken,91
Menú Tentaciones,temptations menu,100
Envuelto en tempura,wrapped in tempura,100
Cocktail del Rincón,Cocktail of the Rincón,82
Sándiches Vegetarianos,Vegetarians sandiches,53
Star Rolls,star rolls,40
Chaumin,Chaumin,100
Holy Guacamole,Holy Guacamole,100
Appetizer caliente,hot appetizer,77
Menú Premium,premium menu,100
Premium Rolls,premium rolls,51
Promociones El Quijote,Promotions El Quijote,93
Rolls Fritos,fried rolls,96
Fideos,noodles,100
Arma Tu Pizza,Weapon Your Pizza,84
Colaciones,collations,100
Cheese,cheese,36
Vino,wine,100
Promoción Sushi Moto,Promotion Sushi Moto,100
Guarniciones,fittings,100
California rolls,California rolls,55
Promociones a domicilio,Promotions Home,78
Vegetarianos y veganos,Vegetarians and vegans,91
Cerdo,pork,100
Salsa de Mister Sushi,mister sushi sauce,92
Especial Tai,Special Tai,66
Tempura furay rolls
De Tarde,Afternoon,76
Empanadas japonesas (Gyozas),Japanese empanadas (gyozas),96
Sandwiches de Ave,poultry sandwiches,69
Niños,children,100
Promoción Menú,Menu Promotion,100
Carta de Vinos,wine list,100
Nori,nori,100
Completos vegetarianos,Vegetarians complete,62
Los Ave,The Ave,61
California Roll's,California Roll's,85
Pizza Brutus,Pizza Brutus,100
Sugerencias Kaizu,Suggestions Kaizu,100
Vienesa Chica,Viennese girl,53
Menu Mexicano,Mexican menu,81
Furay o Tempura,Furay or Tempura,100
Tempura Rolls,Tempura Rolls,51
Rolls Furai,rolls furai,95
Rolls Envueltos en Queso Crema,Wrapped in Cream Cheese Rolls,66
Colaciones Sushi,Snacks Sushi,64
Pizzas XL,xl pizzas,100
Trilogías,trilogies,100
Fettuccini,Fettuccini,100
Appetizer Frío,cold appetizer,73
Chirashis,chirashis,100
Fettuccine,fettuccine,100
Sándwiches Sibaritas,Sandwiches Sibaritas,92
Pitón,python,100
Empanaditas japonesas,Japanese dumplings,93
Frutas,fruits,100
Clásicos California,classic california,51
Domburimono,domburimono,100
Salads,salads,80
Fondo de mariscos,seafood background,100
Rolls y platos calientes,Rolls and hot dishes,97
Menús Ejecutivos,executive menus,100
Ollitas,ollitas,100
25% Off Platillos,25% Off Cymbals,100
Sandwiches,Sandwiches,100
Especial roll,Special roll,59
Entrada,entrance,100
White rolls,white rolls,40
Carne al Wok,meat wok,47
Sushi California Rolls,California Sushi Rolls,71
Specialty,specialty,66
Rolls Calientes,Rolls Calientes,96
Bebidas y Extras,drinks and extras,100
Roll Envuelto en Palta o Salmón,roll wrapped in avocado or salmon,100
Platos para llevar,takeaway,75
Ceviches Bushido,ceviches bushido,100
Para compartir,to share,100
Menú Clásico,classic menu,100
Temaki - 30% off,temaki - 30% off,70
Especial Palta,Special Palta,57
Promoción 2x1,2x1,35
Sándwich Carne de Cerdo,pork sandwich,94
Para compartir - 30% off,to share - 30% off,77
Premium Rolls *,Premium Rolls *,70
Tropical Cheese Roll,tropical cheese roll,37
Rolls Especiales Envueltos en Palta,Special Rolls Wrapped in Palta,95
Nigiri,nigiri,100
Sándwiches (Molde Sándwich),Sandwiches (Molde Sandwich),89
Otros Productos,other products,93
Entrantes,Incoming,94
Supreme Rolls,Supreme Rolls,88
Korokkes,korokkes,100
Camarones y Verduras,shrimp and vegetables,100
Cevichería,Cevicheria,85
Los Líquidos,liquid,76
Special rolls y vegetarianos,Special rolls and vegetarian,65
Sushiviche,sushiviche,100
Rolls envuelto en Salmón,Rolls wrapped in salmon,92
"Pastas, Pescados",Pasta Fish,92
Misceláneos y vegetarianos,Miscellaneous and vegetarian,68
Special Ozei,special ozei,56
Menú infantil,children's menu,100
Martes,Tuesday,100
Nigiri - 20% off,nigiri - 20% off,68
Niguiri,niguiri,100
Vegetarianos en Curry,vegetarian curry,57
Avocado rolls - 20% off,avocado rolls - 20% off,43
Niguiri (2 Unidades por Porción),niguiri (2 units per serving),96
Para acompañar - 20% off,to accompany - 20% off,77
Bronto Vegetariano,vegetarian bronto,94
Cocktail,cocktail,53
Cream Rolls,cream rolls,38
Pizza 2X1,Pizza 2X1,100
Dulces Arabes,Arab Sweets,88
Menú de almuerzo (Hasta las 13:00 hrs.),lunch menu (13:00 hrs.),85
Cervezas Importadas,imported beers,100
Liquidos y Jugos,liquids and juices,90
Ofertas de Sándwiches,offers sandwiches,80
Mozarella Rolls,mozarella rolls,58
Wraps,Wraps,100
Rolls atún,tuna rolls,84
Agregado Extra,Added Extra,64
Para empezar,to begin with,100
Pizza cipolla fuzion,cipolla pizza fuzion,65
Choices y toppings,choices and toppings,46
Pizzas tradicionales,traditional pizzas,100
Rolls con Cubierta Sugerida,Suggested rolls with cover,60
Sandwiches de Pescado,fish sandwiches,93
Rolls mixtos envueltos en palta y salmón,Mixed Rolls wrapped in avocado and salmon,85
Parrilladas,parrilladas,100
Roll's Calientes,roll's hot,54
Naturistas,Naturists,100
Entradas y Bocadillos,tickets and snacks,71
Para Picar,Chopping,53
Opciones postres,Desserts Options,93
Champiñones rellenos apanados,Stuffed mushrooms breaded,95
Bebidas y Jugos,drinks and juices,86
Ensaladas del Barrio,Salads Neighborhood,88
Ensaladas Naturistas,salads naturists,100
Hosomaki (8 unidades),hosomaki (8 units),100
Sakana- Tataki,Sakana- Tataki,100
Rolls en salmón,Rolls in salmon,91
Promociones Exclusivas,exclusive promotions,100
Platos Calientes (Chifa Peruana),hot dishes (Peruvian chifa),96
Hot dogs,hot dogs,25
Roll a elección,Roll your choice,70
Shawarma clásico,shawarma classic,47
A. Avocado rolls,a. avocado rolls,43
Platos Criollos,Creole dishes,93
Hosomak,hosomak,100
Rolls Calientes (8 Piezas),hot rolls (8 pieces),94
"Cafetería, Jugos naturales, Bebidas",Café natural juices Drinks,97
Costillas,ribs,100
Sándwich Naturales,natural Sandwich,86
Maki Moriawase,maki moriawase,100
Platos Principales,Main Dishes,100
Rolls calientes (8 cortes),Hot Rolls (8 slices),82
A la Parrilla,grilled,100
Crea tu pizza,Create your pizza,100
Rice & Roll Gourmet rolls,Rice & Roll Gourmet rolls,61
Vegetariano,vegetarian,100
Chioces,chioces,100
Pastas congeladas,frozen pastas,100
Chesse Rolls,Chesse Rolls,96
Con Cubierta Apanada en Panko o Tempura,Cover with breaded in Panko or Tempura,75
Fresh Rolls (6 bocados),fresh rolls (6 bites),50
Bushido Mixto,bushido mixed,68
Fusión,fusion,100
Shirashi Sushi,Shirashi sushi,57
Ensaladas frescas,fresh salads,100
Toro Toro Sándwich Tradicionales,Toro Toro Traditional Sandwich,92
Té,tea,100
Burritos y Tacos,burritos and tacos,100
Envueltos en Salmón,Wrapped in Salmon,92
Conveniencias,conveniences,100
Platos Especiales,Special Dishes,94
Churrascos,barbecues,31
Oni Premium,oni premium,30
Camarón Furay,Shrimp Furay,100
Almuerzo jueves,Lunch Thursday,93
Promociones de Kazuo,Kazuo Promotions,91
Pollo Deshuesado Relleno,boneless stuffed chicken,48
Cocktail de Aperitivos,cocktail snack,28
Envueltos en ciboullete / masago,wrapped in ciboullete / masago,98
Especial Thaí,Special Thai,48
Carta gourmet,Charter gourmet,85
Nuestras tablas,our tables,75
Arma tu pizza,Build your pizza,64
Sándwich vegetarianos,vegetarian sandwich,97
Entremeses Calientes,hot appetizers,65
Cheese rolls,cheese rolls,34
Chicken Box,Chicken Box,100
Churrasco 2 x 1,Barbecue 2 x 1,100
B. Sake rolls,B. Sake rolls,51
Variedades,varieties,100
Unamaki tempura,unamaki tempura,46
E. Duo rolls,e. duo rolls,61
Entradas Calientes,Hot tickets,94
Ceviche,ceviche,100
Rolls Tipo California,Type California Rolls,56
Complementos de la Ensalada,ons Salad,50
Promoción,promotion,100
Tempura y panko,tempura and panko,100
Platos especiales,Specials,66
Rolls calientes,Hot Rolls,90
"Promoción 2 X 1. Elige Tus 2 Pizzas Medianas y Familiares, Iguales O Combinadas Y Cancela La De Mayor Valor",Promotion 2 x 1. Pick your 2 medium pizzas and the same family or combined and cancels the higher value,73
Gohan (arroz frío),gohan (cold rice),100
Fusión Gourmet Rolls,fusion gourmet rolls,65
Nuestras Variedades,our varieties,100
Ceviche Nikkei y Japonés,Ceviche Nikkei and Japanese,96
Rolls envueltos de Pulpo,Rolls wrapped Octopus,63
Tabla Sushi Moke,Table Sushi Moke,100
Desayunos y onces,breakfast and afternoon tea,55
Platos con Base de Arroz,rice-based dishes,91
Productos del Mar,Sea Products,100
Arma tu rolls,Build your rolls,60
Furay & Tempura Rolls,Furay & Tempura Rolls,93
Nikkei Bushido,Nikkei Bushido,100
Aderezos,dressings,35
Apettizers,apettizers,100
Apetizeer,apetizeer,100
Nuestras promociones,our promotions,100
Rolls en Palta,Rolls in Palta,100
Envuelto en Palta,Wrapped in Palta,100
Combos Mix,Mix Combos,60
Platos calientes,hot dishes,100
Uramaki,uramaki,100
Acompañamientos,Accompaniments,100
Churrasco/ Lomo/ Escalopa,BBQ / Lomo / Escalopa,69
Guisados,stews,100
Brochetas Ok,skewers ok,54
Rolls calientes Tempura (8 cortes),hot tempura rolls (8 slices),59
Bebidas Frías,cold drinks,100
Sándwich Ave,Sandwich Ave,88
Futomaki rolls,futomaki rolls,55
Comida caliente,hot meal,100
Productos,produce,75
Extras Satoru,Extras Satoru,100
Special Hot Rolls,special hot rolls,36
Sándwich Premium,premium sandwich,100
Rolls Vegetarianos,vegetarian rolls,94
Vienesas XL,Viennese XL,76
Rolls california,Rolls california,96
Menú,menu,100
Fondos,funds,100
